ImageFile,Cx,Cy,Class,ClassId
FRF_c1_snap_20150322160000_EBG.jpg,2232,1152,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1600,628,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2354,1201,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1665,728,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1206,600,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2342,1247,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2224,1339,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1145,627,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1956,923,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1765,1065,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2051,975,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1420,624,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1913,923,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2026,1031,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1936,913,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1310,657,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1422,754,background,0
FRF_c1_snap_20150322160000_EBG.jpg,646,1024,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2328,951,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2017,1164,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2381,1077,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2253,958,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2292,916,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2379,1177,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2149,1117,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1264,1156,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1919,1090,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2231,965,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1268,1178,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1771,710,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1888,1123,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1660,874,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1863,798,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2074,1126,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1766,980,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1860,1038,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2035,1108,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1821,895,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1941,919,background,0
FRF_c1_snap_20150322160000_EBG.jpg,1408,621,background,0
FRF_c1_snap_20150322160000_EBG.jpg,216,561,background,0
FRF_c1_snap_20150322160000_EBG.jpg,129,536,background,0
FRF_c1_snap_20150322160000_EBG.jpg,18,604,background,0
FRF_c1_snap_20150322160000_EBG.jpg,488,547,background,0
FRF_c1_snap_20150322160000_EBG.jpg,141,404,background,0
FRF_c1_snap_20150322160000_EBG.jpg,70,645,background,0
FRF_c1_snap_20150322160000_EBG.jpg,367,586,background,0
FRF_c1_snap_20150322160000_EBG.jpg,360,368,background,0
FRF_c1_snap_20150322160000_EBG.jpg,243,338,background,0
FRF_c1_snap_20150322160000_EBG.jpg,469,594,background,0
FRF_c1_snap_20150322160000_EBG.jpg,239,582,background,0
FRF_c1_snap_20150322160000_EBG.jpg,478,588,background,0
FRF_c1_snap_20150322160000_EBG.jpg,113,604,background,0
FRF_c1_snap_20150322160000_EBG.jpg,105,468,background,0
FRF_c1_snap_20150322160000_EBG.jpg,82,279,background,0
FRF_c1_snap_20150322160000_EBG.jpg,384,559,background,0
FRF_c1_snap_20150322160000_EBG.jpg,101,390,background,0
FRF_c1_snap_20150322160000_EBG.jpg,186,349,background,0
FRF_c1_snap_20150322160000_EBG.jpg,401,553,background,0
FRF_c1_snap_20150322160000_EBG.jpg,194,419,background,0
FRF_c1_snap_20150322160000_EBG.jpg,503,594,background,0
FRF_c1_snap_20150322160000_EBG.jpg,277,549,background,0
FRF_c1_snap_20150322160000_EBG.jpg,98,607,background,0
FRF_c1_snap_20150322160000_EBG.jpg,155,315,background,0
FRF_c1_snap_20150322160000_EBG.jpg,27,477,background,0
FRF_c1_snap_20150322160000_EBG.jpg,419,449,background,0
FRF_c1_snap_20150322160000_EBG.jpg,437,586,background,0
FRF_c1_snap_20150322160000_EBG.jpg,269,626,background,0
FRF_c1_snap_20150322160000_EBG.jpg,473,493,background,0
FRF_c1_snap_20150322160000_EBG.jpg,210,511,background,0
FRF_c1_snap_20150322160000_EBG.jpg,253,338,background,0
FRF_c1_snap_20150322160000_EBG.jpg,463,515,background,0
FRF_c1_snap_20150322160000_EBG.jpg,449,468,background,0
FRF_c1_snap_20150322160000_EBG.jpg,312,538,background,0
FRF_c1_snap_20150322160000_EBG.jpg,337,481,background,0
FRF_c1_snap_20150322160000_EBG.jpg,85,409,background,0
FRF_c1_snap_20150322160000_EBG.jpg,57,259,background,0
FRF_c1_snap_20150322160000_EBG.jpg,123,592,background,0
FRF_c1_snap_20150322160000_EBG.jpg,214,387,background,0
FRF_c1_snap_20150322160000_EBG.jpg,88,604,background,0
FRF_c1_snap_20150322160000_EBG.jpg,2276,1397,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1209,675,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1153,659,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1537,858,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1256,707,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2009,1248,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1403,793,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2377,1429,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2054,1272,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1356,809,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1361,761,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1296,763,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1391,733,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1491,829,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2122,1305,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2039,1257,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2049,1272,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2030,1252,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1450,834,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1386,745,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2076,1280,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2404,1427,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,956,552,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,941,549,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1295,754,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1336,771,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2097,1292,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2385,1414,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1153,661,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1544,881,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1089,651,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1373,792,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1951,1216,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1315,731,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1286,697,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1411,803,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1474,828,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1143,665,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1958,1216,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2166,1328,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1984,1235,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1181,692,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2240,1396,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2019,1269,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2262,1400,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1419,809,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2092,1309,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2065,1300,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1300,693,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1338,729,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1397,815,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1323,688,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1334,720,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2034,1269,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1327,730,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2028,1248,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1186,679,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2197,1374,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1492,912,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,2028,1271,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1497,815,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1507,812,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1182,694,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1361,773,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1453,832,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1385,747,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1519,991,wetsand,1
FRF_c1_snap_20150322160000_EBG.jpg,1177,670,wetsand,1
